name,description,genre
"Больше, чем пара, меньше, чем любовники [1-12 из 12]","Восемнадцатилетний Дзиро Якуин учился в академии в старшем классе, и ему следовало пройти особый курс, называвшийся «Практика семейной жизни». На этом курсе ребят готовили к тому, с чем предстояло столкнуться во взрослой жизни, в том числе и той, что касалась супружества. Ученикам следовало не только освоить теорию, но и попрактиковаться, чтобы сдать экзамены. Дзиро был бы не прочь...",Драмы
Университет сумасшедших людей [1-12 из 12],"За убийство своей невесты Сатакэ Хирофуми был приговорен к смерти и теперь является заключенным, ожидающим казни. Однако наш герой далек от нормального человека. Настоящий нежить, прошедший через множество опасных ситуаций, он привлекает внимание Университета человеческого безумия, организации, специализирующейся на исследовании и изучении чудесных явлений. Сатакэ вскоре становится...",Комедии
Чёрные врата [1-12 из 12],"Однажды люди увидели необычное происшествие. Произошло неожиданное открытие ворот, которые предоставили возможность оказаться в ином мире. Здесь было полно разных чудовищ, монстров, довольно много великих магов. Властям пришлось заняться сбором армии. В нее вошли самые лучшие солдаты. Однако воины, которых имел иной мир, были более сильными. В их армии собрались самые жуткие существа....",Фантастика
Одинокий рокер! [1-12 из 12],"Мечта необходима современному человеку и особенно тому, чей возраст достаточно юный. Хитори Гото была старшеклассницей, обзаведшаяся мечтой после просмотра по телевизору выступления одной рок-группы. Девушка решает, что ей следует брать уроки гитары, чтобы в будущем достигнуть успеха на музыкальном поприще. Мечта Хитори оказывается ослепляющей, и ей постепенно приходится осознавать, что...",Комедии
Ворона в гареме [1-13 из 13],"Император могущественный человек в своей стране, его власть распространяется абсолютно на всех граждан, и они беспрекословно подчиняются ему. Он настолько велик, что его дворцы считаются самыми красивыми, а в них живут прекрасные жены, количество которых зависит только от предпочтения самого правителя. Каждую ночь он выбирает себе, ту с которой готов провести уединение, но есть только...",Истории
Семья шпиона 2 [1-13 из 13],"Агент «Сумрак» по праву признан одним из лучших специалистов в своей области. Ему поручают выполнение самых опасных секретных заданий. Смертельный риск и уход от погони – обычное дело для героя. Очередной миссией агента становится предотвращение страшной войны. Для этого Сумраку придется примерить на себя личину обычного семьянина, заботливого отца и любящего супруга по имени Ллойд...",Комедии
Узаки хочет тусоваться! 2 [1-13 из 13],"Двадцатилетний Синъити Сакурай переходит на третий курс и грезит лишь о спокойной жизни, с минимумом проблем и забот. Вот только компанию ему составляет Хана Удзаки, внося в размеренность нотки шумихи. Парень то и дело норовит избежать компании веселой особы. Сакурай отмечает за собой тягу к одиночеству. И это вполне объяснимо, ведь помимо учебы парень уделяет внимание подработке....",Комедии
"Укротитель зверей, изгнанный из команды героя, встретил девочку-кошку из сильнейшей расы [1-13 из 13]","Укротитель зверей, изгнанный из команды отправляется в далекий путь, пытаясь найти новый смысл жизни. Ему не особо везло в выбранных профессиях и друзьях, он всегда хотел быть дрессировщиком, но обучать зверей у него не получалось, те просто отказывались его слушаться и совершенно не обращали внимание, а только огрызались, когда мужчина к ним подходил. Друзья тоже не особо долго...",Комедии
У моего мастера нет хвоста [1-13 из 13],"Главной героиней этого аниме является молодая девушка-оборотень по имени Мамеда, которая хочет быть похожей на людей. Как-то раз она обращается в красивую девушку, затем принимает решение поселиться в городе Осака. Однако все сразу понимают, кто она на самом деле. Оборотень знакомится с необычной женщиной, которую зовут Бунко. Та оказывается тоже мистическим созданием, хоть и прогоняет...",Истории
Люцифер и Бисквитный Молот [1-24 из 24],"Студент Юхи Амамия ненавидит все человечество, полагая, что имеет на такие эмоции все права. Впрочем, такое восприятие людского рода может быть обусловлено склонностью к мизантропии и наличием кое-каких проблем. Однажды утром он обнаруживает в своей постели ящерицу, а та ещё и разговаривает. Оправившись от потрясения, парень узнает, что ящерица является фамильяром, а кроме этого...",Драмы
Принцесса-библиофил [1-12 из 12],"Элианна Бернштейн была необычной девушкой, а все потому, что увлекалась книгами настолько, что редко общалась с окружающими людьми. Её даже прозвали принцессой-библиофилом. Учитывая, что девушка происходила из аристократической семьи, она могла позволить себе такое увлечение, но при этом имелись у неё и некие обязательства перед обществом, с которыми следовало справляться. Элианне...",Драмы
Мув-Лув: Альтернатива 2 [1-12 из 12],"1967 год полета на Луну и встречи с враждебной внеземной цивилизацией. Команда астронавтов высаживаются на Луне, но там они встречаются с инопланетной расой, которая была враждебно настроена в отношении них. Инопланетяне, защищая свои интересы и территорию уничтожают всю команду, захватывают космический корабль и летят на нашу планету, для колонизации и порабощения. Этот год стал...",Военные
Сделай это сам!! [1-12 из 12],"Шестеро подруг, учащиеся в школе получают известие о том, что им предстоит взяться за работу над увлекательными проектами. Такие новости заставляют призадуматься. Пурин не могла сдержать эмоций, узнав, что одна из подруг не поступила в элитную школу. А Сэрфу и не тревожилась, ведь любила поспать и проводить время с питомцами. Она не имела амбиций и пребывала в мечтаниях. Невзирая на...",Комедии
Моб Психо 100 3 [1-12 из 12],"Далеко не все люди могут обладать уникальными способностями, но главному герою несказанно повезло. Кагеяма с самого рождения имеет телепатические силы, которые с каждым годом становятся всё мощнее. Кагеями учится в средней школе, его одноклассники и друзья называют парнишку Моб. Вскоре Моб встречает человека, который становится его наставником. Этот наставник – тот ещё шарлатан и...",Комедии
Развращённая гильдия [1-12 из 12],"Глядя на то, что происходило на лужайке, двадцатилетний парень из гильдии задумывается о том, как бы он хотел провести молодость. И он принимает решение бросить работу, чтобы уделить внимание личной жизни, кроме того, и друг пригласил на свадьбу, а он еще ни с кем не встречался. С самого детства он тренировался, чтобы вырасти и побеждать монстров. С восемнадцати лет он стал охотником, и...",Комедии
Время ниндзя [1-12 из 12],"Молодой парень живет в ужасном мире, где ему приходиться наблюдать кощунственные и слишком не справедливые вещи по отношению к мирным гражданам. Страна погрязла в преступности, теперь в городах правят не доброта и спокойствие, а злость и нескончаемое унижение к жителям. Правительство не в силах справиться с бесчинством преступных группировках, ведь в рядах также сидят корупционеры, для...",Боевые искусства
Магазинчик начинающего алхимика [1-12 из 12],"Магазинчик начинающего алхимика открыт для всех в городе, его хозяйка с отличием окончила академию и теперь готова порадовать своих покупателей удивительными средствами, которые обязательно помогут в решение многих проблем. У главной героини есть своя огромная лаборатория, где она может экспериментировать и создавать удивительные средства. Она не хочет повторяться, и делать такие же...",Повседневность
"Каким-то образом я стал сильнейшим, прокачивая фермерские навыки [1-12 из 12]","История разворачивается вокруг главного героя по имени Ал Уэйн. В свои семнадцать лет он мечтает быть наилучшим фермером. Для этого он решил повысить навыки, которые приобрел в области аграрного хозяйства. И вот юноша достиг максимального уровня в своих умениях, что наделило его сверхсилой. Он мог поразить дракона, бросив в него морковку и применив невероятную силу. Ал поселяется в...",Приключения
Аркнайтс: Прелюдия к рассвету [1-8 из 8],"Действие игры-первоисточника происходит в антиутопическом мире под названием Терра, похожем на Землю, только местные обладают чертами животных или мифических рас (кемономими) и магическими способностями, известными как Искусство Оригиниума. Мир Терры постоянно разрушается Катастрофами, вынуждая его жителей постоянно переселяться. Катастрофы принесли с собой пандемию: возникло...",Фэнтези
О моём перерождении в меч [1-12 из 12],"Смерть в одном мире может стать началом жизни в другом, но вот в каком виде, оказывается вопрос. Не каждому попаданцу может повезти с тем, кем он окажется в незнакомой для себя реальности. Так один парень умирает в своем обычном мире, но оказывается в сказочном, где ему достается роль чего-то далекого от человека. Ни рук, ни ног, ни головы у него не предусмотрено, ведь он стал мечом. От...",Фэнтези
Звездный властелин [1-88 из 90],"Предлагаем Вашему вниманию новейшее материковое горяче-кровавое вдохновляющее фэнтези древнего стиля Звёздный Властелин, рассказывающее о Звёздной Секте, некогда самом ослепительном клане Голубой Звезды. Секта случайно заполучила бесценное сокровище всех миров Звёздную Карту и привлекла внимание Владыки Всех Миров. Чтобы завладеть Звездной Картой, Владыка Миров склонил высшее...",Фэнтези
Повседневная жизнь бессмертного короля 3 [1-12 из 12],"Ван Лин с самого раннего возраста развивал необычайные навыки. Но ради возможности вести нормальную жизнь, его способности ограничиваются талисманом и юноша старательно избегает неприятностей. Но несмотря на это, его природный потенциал остается по-прежнему высоким, и его привычное существование оказывается под угрозой, когда молодой человек переходит в старшую школу. По воле случае на...",Повседневность
"Я стала злодейкой, поэтому мне нужно заарканить последнего босса [1-12 из 12]","Главной героине придется провернуть слишком сложное дело в своей жизни, чтобы остаться живой и невредимой. Ее задача, как можно быстрее охмурить последнего босса, либо ее убьют из-за совершенного ей плохого поступка. Девушка в прошлой жизни играла в игру, где прошла практически до последнего уровня, но судьба была к ней справедлива и решила, забрать ее нее привычную жизнь и мигом...",Комедии
Невероятные приключения ДжоДжо 5 [1-38 из 38],"Узнал бы мир одного из своих величайших злых гениев Дио Брандо, если бы однажды его не усыновил аристократ Джордж Джостар? Может быть в конечном счёте Дио было суждено стать порождением тьмы в любом случае, а может именно жажда наживы и несметные богатства подтолкнули его к совершению преступлений. Как бы то ни было, случившегося не отменить, и именно семье Джостаров пришлось исправлять...",Приключения
Гробница богов [1-16 из 16],"Между двумя сильными кланами с давнего времени началась ожесточенная борьба. Они очень долго продолжали противостоять друг другу. Императорскую гробницу построил Уцзы. У его оппонентов было преследование единственной цели. Им требовалась очень древняя реликвию. Однажды её очень старательно спрятали, чтобы никто не мог увидеть. Никто не мог узнать, в каком именно месте расположен этот...",Боевые искусства
Сильнейший главный герой в истории [1-26 из 26],"Чжао Сяотянь от рождения одарён необыкновенными способностями и при этом обладает отличными навыками к регенерации всего своего организма, и неважно будет то атомный взрыв или страшная авария. Однажды при стечении странных обстоятельств попадает в другой мир, где во главе угла поставлено боевое искусство, и отныне он старший внук состоятельного семейства Чжао. Но из-за принадлежности к...",Боевые искусства
Война королевств [1-16 из 16],"Храбрый и смелый герой повествования по имени Цзи Цинь, главный в Gaowan, выбрал утилиту «Кость Шаохао», с целью бесконечно странствовать по эпохам Весны и Осени и эпохе Воюющих царств, он с легкостью перешел границы своей вселенной и мира искусства боев. Тем не менее, неожиданно для него путь события сдвигается, у Цзин Кэ получилось ударить Цинь в замке под названием Сяньян, и вот...",Приключения
Драгон Квест: Приключения Дая [1-100 из 100],"После поражения демона-лорда Хадлара все монстры были освобождены от его злой воли и стали жить на острове Дермлин. Только один человек живёт на этом острове, его имя — Дай. Будучи воспитанным добрым монстром Латунь, Дай мечтал однажды стать героем. Он старается стать сильнейшим, чтобы однажды, когда Хадлар воскреснет, помочь предыдущему герою Авану отправить его назад в глубины ада. Но...",Приключения
"Фальшивый культиватор, выбранный богом [1-16 из 16]","Ещё одна история взявшая начало в современном мире про парня по имени Ан Лин. Юноша преспокойно жил в городе, посещал занятия в учебном заведении, общался с друзьями. Но существует всего одна огромная проблема: долги его родного отца, поэтому кредиторы доставали его везде где только можно требуя рассчитаться, а в каком месте взять деньги обычному студенту?! И вот в один из дней спасаясь...",Боевые искусства
Хроники сотни демонов 3 [1-12 из 12],"Мальчишка со зверьком в рюкзаке бежал следом за Тао Яо, чтобы удержать её от необдуманного поступка. Но девушка не разделяет опасений Мо Я. Невидимый посторонним Лио, слышал этот разговор и успокоил мальчика, что скоро Тао Яо, которая должна о нем заботиться, проиграется. А вскорости появляется Тао Яо, окрыленная радостью от выигрыша. Но радость была недолгой, поскольку из рук девушки...",Детективы
Блюз машины времени о четырёх с половиной татами [1-6 из 6],"Прошло уже три года с того момента как наш герой встретил прекрасную девушку с необычной внешностью. Тогда он решил завоевать её, но за всё это время у него ничего так и не получилось. Он даже вступил в клуб чтобы с ней сблизится, но та даже не обращала на него внимание. К тому же, она была влюблена вовсе в другого парня. Да и клуб больше приносил вреда чем пользы. Что же он сделал не...",Детективы
Блестящий пост [1-12 из 12],"Это история поведает искушённому зрителю о жизни подрастающего поколения и о том, как стать абсолютным идолом. Создатели аниме хотели чтобы люди во всех уголках планеты обожали своих кумиров, а сияющий маяк для этого: Блестящий пост!. Пять представительниц прекрасного пола горят желанием блистать на сцене, реализовать собственный творческий потенциал, работать для публики и купаться в...",Музыкальные
Детективы Футо [1-12 из 12],"«Воспоминания Гая» стали огромной проблемой для современного города Футо, ученые которые изобрели этот гаджет, дали возможность преступному миру, реализовать все свои давние желания. Не каждый может приобрести эту серьезную вещицу, слишком дорого она стоит, да и достать ее не так легко как хотелось бы. Любой злодей мечтает, чтобы его тело стало невероятно сильным и ему не было равных,...",Детективы
Живая любовь! Суперзвезда!! 2 [1-12 из 12],"Новая, только недавно открывшаяся школа с очень интересным названием – Частная Старшая Женская Школа Юигаока, уже произвела фурор. Находясь на пересечении трёх кварталов Токио, она невероятно выгодна для учёбы и добираться к ней очень легко. Поэтому, как только объявили о её открытии, желающих учиться в неё девушек уже было огромное количество. Ни истории из прошлых веков, ни...",Комедии
Хроника волшебного путешествия [1-1 из 12],"История о девушке и её товарищах, с которыми она отправляется в действительно увлекательное путешествие. Главная героиня обладает магическими способностями и училась у опытного учителя, который передал множество знаний. С помощью этого, главная героиня и её товарищи могут постоять за себя вовремя самого путешествия. А опасностей будет много, так как им предстоит пересечь большое...",Фэнтези
Моя новая горничная очень подозрительна [1-11 из 11],"Релиз нового комедийного аниме под названием Моя новая горничная очень подозрительна в жанре романтической повседневности, основанного на одноименной манге от автора Комбу Вакамэ состоится в 2022 году. В сериале пойдет речь о молодом господине по имени Юри и его весьма подозрительной и невероятно красивой новой горничной Лилит. Главный герой недавно потерял своих родителей, получив от...",Комедии
Семья шпиона [1-12 из 12],"Шпион, носивший позывной «Сумрак» и прослывший гениальностью и хладнокровием, привык исполнять порученные ему задания, безукоризненно и не создавая шума. Ему нравилась его работа, ведь с юных лет он грезил о том, чтобы мир стал намного лучше, а без персонального участия этого не добиться. Безо всякого страха он брался за опасные задания, не опасаясь распрощаться с жизнью. В очередной...",Комедии
Тигр и кролик 2 [1-25 из 25],"Всем поклонникам мехи и киберпанка известно, что в далеком будущем произойдет внезапный скачок технологий, в результате мы получим уникальные условия для развития собственных способностей и, как следствие, сверхличностей. Именно на такую тему и решили пофантазировать режиссеры телесериала «Тигр и Кролик».История происходит в городе будущего — Штернбилд, копии современного Нью-Йорка....",Детективы
DOTA: Кровь дракона 3 [1-8 из 8],"Дракон требует от Террорблейда вернуть столпотворение на законное место и восстановить всевозможные формы, но не все так просто в данном вопросе. Террорблейд указывает дракону на то, что с ним прибыла армия. Драконы все ещё не пришли в себя и это был дурной знак. Рыцарь Дэвион узнает о том, что драконы на что-то слетаются. Но в этом было что-то нелогичное. Дэвион знал, что находилось в...",Приключения
Вершина! [1-12 из 12],"Яёй и Ёмоги дружили с раннего детства, девочки ярые поклонницы юмористического разговорного жанра. Так что в тот период ими был создан комедийный дуэт Конамонзу. Они выступали стараясь рассмешить людей, обеспечивая тем хорошее настроение гримасничая и рассказывая смешные истории. Пролетело незаметно время, а так как Сакамото по-прежнему является приверженцем лицедейства, она решает...",Комедии
Богиня идола-мерзавца [1-10 из 10],"Юя Ниёда был частью поп-дуэта под названием ZINGS, и сумел прославиться, но не талантами, а ленью. Этим качеством он отличался от всех своих коллег по цеху. Напарник Юя отрабатывал программу на 110% всякий раз, когда доводилось выступать. Фанаты же видели, как себя ведет Юя. Им стали противны его танцы, какие-то неловкие и неряшливые, а самое главное пренебрежение к публике. А такое...",Комедии
Ублюдок!! Сокрушитель тьмы [1-24 из 24],"Считается, что каждая цивилизация развивается по спирали и когда доходит до точки апогея, то провоцирует катастрофы и катаклизмы, тем самым уничтожает сама себя. Так произошло и в этой истории. Незаметно пролетело четыреста лет и ныне всё погружено в хаос, доминируют чародейство и мечи, воздух пропитан кровью. Отныне, чтобы выжить спасаясь от дикого зверья и разного рода монстров, людям...",Комедии
Обрученные кукушками [1-24 из 24],"Наги Умиго - симпатичный парнишка, не сильно преуспевающий в учебе. Но это не мешает ему радоваться жизни и чувствовать себя прекрасно. Наоборот, он пребывает в некотором прекрасном ощущении, что впереди еще много прекрасных моментов. Так он знакомится с милой Эрику. Девушка с ходу предлагает ему ввязаться в странную авантюру ради нее. Она не хочет выходить замуж, а потому...",Комедии
Царство 4 [1-26 из 26],"События взяли свое начало в период эпохи Сэнгоку, а та вошла в историю Востока и причем за счет воинственного правителя. Войны в тот период времени не прекращались, что сеяло отчаяние в людях, а также хаос и сокрушение экономики страны. Происходящие события затронули и двух мальчиков, которым довелось остаться в нежном возрасте без опеки родителей. Будучи сиротами, к тому же нищими,...",Военные
Сияющие ведьмы [1-12 из 12],"Много лет назад мир людей был атакован космическими пришельцами. Используя внеземные технологии, они стали уничтожать Землю. В те годы были разрушены многие города, человечеству не помогло имеющееся оружие. Гнетущая атмосфера апокалипсиса давила на людей и заставляла их сходить с ума от отчаяния. Тогда сотрудники научных институтов взялись за разработку технологий, способных...",Военные
Песнь ночных сов [1-13 из 13],"Учиться в школе может быть непросто, когда вместо восстановления сил парень всю ночь ворочается с боку на бок и не может уснуть. Бессонница заставляет Ко Ямори чувствовать себя изгоем. Он не может избавиться от проблемы и вынужден подстраиваться под расписание уроков. Но по ночам, пока почти весь город спит, он начинает выходить на прогулки. Ко нравится тишина и необычное спокойствие,...",Романтика
Летнее время [1-25 из 25],"Симпэй и не думал возвращаться в родной город из Токио, пока не узнал о смерти сводной сестры. И вот он стоит на причале небольшого острова — места, где провёл детство, — и с грустью вспоминает дни минувшие. Усио больше нет. Она утонула, пытаясь спасти ребёнка. Винить некого, разве что злую судьбу. Причина смерти ясна, обстоятельства указывают на несчастный случай. Однако те немногие,...",Детективы
Повелитель тьмы на подработке! 2 [1-12 из 12],"Действие этого анимационного сериала разворачивается одновременно в двух мирах. Во вселенной, где правит князь тьмы Энте Исла человечество подвергается жесткому террору. Человечество это мира страдает и вынуждено прятаться от жесткости правителя. Но любое терпение не бесконечно. Люди решают восстать против князя и положить конец его диктатуре. Длительные военные сражения увенчались...",Комедии
Созданный в Бездне 2 [1-12 из 12],"В мире существует место, которое все ещё остается необследованным учеными. Именуется это место Бездной, а представляет собой внушительную систему пещер. Ввиду того, что мало, кто из людей решался на масштабное изучение этих пещер, отсутствовали сведения о том, насколько глубокой была разверзнувшаяся там пропасть. А внутри оной обитали необычные существа. Помимо этого пропасть была...",Драмы
Карточные бои Авангарда: Замещение 3 [1-13 из 13],"Сложный подростковый возраст чреват проявлением максимализма, когда ребёнок чувствует собственное превосходство, и ему очень важно находиться в социуме, где он хочет выделиться. Наш герой рос примерным мальчишкой верил в справедливость и чётко понимал разницу между белым и чёрным, не замечая полутонов. Вот только среди пятнадцатилетних сверстников он не смог найти единомышленников, не...",Приключения
"Повелитель, Сезон 4 [1-13 из 13]","Как часто вы думаете о том, что было бы неплохо отвлечься хотя бы на минуту, закрыть глаза и оказаться в другом мире? Я думаю, что это находится в мыслях у людей постоянно. Проблемы на учебе, работе или в личной жизни? Не так страшно, когда есть любимая захватывающая экшен игра, в которой ты - главный герой, самый могущественный маг или сильный воин, а может быть и то и другое? Кому,...",Приключения
Облачный владыка [1-24 из 24],"В стенах школы боевых искусств проходят обучение лучшие ученики. Четверо отличников вскоре должны выйти на ринг, чтобы продемонстрировать достигнутые успехи. Они смогут вступить в борьбу с достойными соперниками и на практике показать реальные знания. Им пришлось пройти через большое количество испытаний, преодолеть внутренние страхи и физическую боль. Теперь они получили право...",Боевые искусства
Цзычуань [1-42 из 42],"Это история о мистическом континенте Сычуань, на котором из поколения в поколение передавалась одна легенда: о трех вознесшихся героях Цзычуань из отдаленного и мистического клана с Востока империи людей. Старший брат Ди Лин – спокойный и рациональный, средний брат Сытхэ Лин – отважный воин, преданный своей семье, и младший брат Цзычуань Сю, которого все считают бездельником, но в...",Фэнтези
"Ориент, Сезон 2 [1-12 из 12]","В увлекательном продолжении аниме под названием Ориент. Часть 2, снятого по сюжету одноименной манги Синобу Отаки, в жанре приключенческого сёнэна речь пойдет о двух молодых людях — друзьях детства, которые давным-давно дали друг другу клятву объединиться и уничтожить демонов, заполонивших мир. Когда-то страна восходящего солнца была самым обыкновенным местом для проживания людей....",Комедии
Добро пожаловать в класс превосходства 2 [1-13 из 13],"Существует элитное учебное заведение Кодо Икусей, где обучаются отпрыски богатых людей, ощущающие себя так, будто уже достигли всего, что только можно. И вправду, они позволяют себе наслаждаться жизнью, пусть даже за счет родителей. Ребята хорошо одеты, имеют все необходимое, а после окончания учебы получат престижные места работы. Так что их жизнь вполне себе удалась и вовсе не потому,...",Комедии
Аптека в другом мире [1-12 из 12],"Учёный фармаколог несмотря на свой молодой возраст слишком много работал, он целыми днями пропадал в лаборатории, где пытался создать уникальные лекарственные препараты. Его сердце не выдержало каждодневных нагрузок, и однажды он умер, так и не завершив начатые проекты. Вроде казалось, что все, больше уже ничего не будет, только забвение, но нет, его душа перерождается совершенно в...",Фэнтези
Духи Деко [1-12 из 12],"Юури ещё в детстве увлекался фигурным катанием. Он всегда участвовал, когда проходили соревнования и турниры. Ему в любом случае удавалось занимать призовые места. Но, позже им была сделана ошибка. Когда ему не удалось победить, парень принял решение уехать из города. Он оставил большой спорт, стал замкнутым человеком. Потом, когда пошло довольно длительное время, у его дома он увидел...",Приключения
